iter	Passed	Remaining
276	3289	8584
277	3302	8577
278	3311	8557
279	3326	8554
280	3340	8547
281	3355	8542
282	3364	8525
283	3373	8504
284	3382	8486
285	3395	8475
286	3405	8459
287	3416	8447
288	3425	8428
289	3434	8407
290	3445	8395
291	3459	8389
292	3477	8391
293	3486	8372
294	3499	8363
295	3510	8348
296	3522	8338
297	3535	8328
298	3548	8319
299	3559	8305
300	3568	8287
301	3578	8271
302	3590	8258
303	3601	8246
304	3613	8234
305	3623	8218
306	3635	8207
307	3645	8189
308	3655	8174
309	3665	8159
310	3678	8149
311	3691	8139
312	3704	8131
313	3713	8113
314	3726	8104
315	3736	8088
316	3747	8074
317	3756	8056
318	3765	8039
319	3778	8030
320	3793	8023
321	3804	8009
322	3814	7995
323	3830	7991
324	3841	7978
325	3853	7967
326	3867	7959
327	3875	7940
328	3888	7931
329	3902	7922
330	3914	7911
331	3924	7896
332	3935	7882
333	3946	7869
334	3961	7862
335	3974	7854
336	3989	7847
337	3999	7833
338	4014	7827
339	4024	7812
340	4035	7798
341	4048	7788
342	4061	7779
343	4072	7765
344	4082	7750
345	4094	7738
346	4105	7726
347	4120	7720
348	4128	7701
349	4136	7682
350	4145	7665
351	4160	7658
352	4168	7640
353	4180	7628
354	4192	7617
355	4201	7600
356	4211	7585
357	4223	7574
358	4238	7567
359	4250	7556
360	4265	7550
361	4282	7547
362	4293	7535
363	4309	7530
364	4319	7515
365	4331	7503
366	4340	7487
367	4352	7475
368	4364	7463
369	4377	7453
370	4385	7434
371	4394	7418
372	4409	7411
373	4419	7397
374	4429	7382
375	4442	7372
376	4455	7362
377	4469	7354
378	4481	7342
379	4490	7326
380	4502	7314
381	4517	7307
382	4529	7296
383	4540	7283
384	4549	7267
385	4558	7251
386	4569	7237
387	4582	7227
388	4593	7214
389	4603	7199
390	4614	7186
391	4624	7173
392	4635	7159
393	4645	7145
394	4658	7134
395	4672	7126
396	4686	7118
397	4698	7106
398	4710	7095
399	4722	7083
400	4731	7068
401	4741	7053
402	4752	7040
403	4761	7023
404	4773	7012
405	4784	6999
406	4796	6988
407	4807	6975
408	4814	6956
409	4827	6947
410	4838	6934
411	4848	6919
412	4861	6909
413	4871	6895
414	4880	6879
415	4893	6870
416	4905	6857
417	4918	6847
418	4934	6842
419	4946	6830
420	4966	6829
421	4972	6810
422	4978	6790
423	4986	6773
424	4993	6755
425	4999	6736
426	5005	6717
427	5012	6698
428	5019	6680
429	5026	6663
430	5033	6644
431	5039	6626
432	5045	6607
433	5051	6588
434	5057	6568
435	5063	6550
436	5069	6531
437	5076	6513
438	5082	6495
439	5089	6477
440	5094	6458
441	5101	6439
442	5106	6420
443	5112	6401
444	5118	6383
445	5124	6365
446	5130	6346
447	5136	6328
448	5142	6311
449	5149	6294
450	5155	6275
451	5161	6258
452	5168	6240
453	5174	6222
454	5179	6204
455	5185	6185
456	5190	6167
457	5197	6150
458	5202	6132
4460	5368	62774461	5380	6266
462	5390	6252
463	5401	6239
464	5411	6226
465	5422	6214
466	5437	6205
467	5448	6193
468	5462	6184
469	5471	6170
470	5484	6160
471	5494	6146
472	5508	6137
473	5519	6124
474	5531	6113
475	5541	6100
476	5553	6088
477	5565	6077
478	5575	6064
479	5585	6051
480	5593	6035
481	5606	6024
482	5617	6013
483	5630	6002
484	5642	5991
485	5652	5978
486	5667	5969
487	5678	5957
488	5692	5948
489	5707	5939
490	5720	5930
491	5733	5919
492	5746	5909
493	5758	5898
494	5767	5884
495	5781	5875
496	5788	5858
497	5800	5847
498	5810	5833
499	5821	5821
500	5834	5811
501	5846	5800
502	5860	5790
503	5871	5777
504	5885	5768
505	5896	5756
506	5908	5745
507	5919	5733
508	5929	5719
509	5942	5709
510	5950	5694
511	5960	5681
512	5971	5669
513	5986	5660
514	5996	5646
515	6007	5635
516	6019	5623
517	6032	5613
518	6044	5601
519	6052	5586
520	6063	5574
521	6074	5562
522	6083	5548
523	6091	5533
524	6104	5522
525	6111	5507
526	6123	5495
527	6134	5483
528	6146	5472
529	6158	5461
530	6166	5446
531	6179	5436
532	6189	5422
533	6201	5411
534	6214	5401
535	6224	5388
536	6235	5376
537	6245	5363
538	6258	5352
539	6267	5338
540	6282	5330
541	6295	5319
542	6307	5308
543	6318	5296
544	6332	5286
545	6347	5278
546	6359	5266
547	6371	5254
548	6383	5243
549	6393	5231
550	6405	5220
551	6419	5210
552	6431	5198
553	6444	5188
554	6454	5175
555	6466	5163
556	6477	5151
557	6488	5139
558	6500	5128
559	6511	5116
560	6520	5102
561	6532	5091
562	6545	5080
563	6559	5071
564	6568	5057
565	6582	5047
566	6593	5035
567	6600	5019
568	6612	5008
569	6628	5000
570	6638	4987
571	6654	4978
572	6667	4968
573	6681	4958
574	6690	4944
575	6704	4934
576	6716	4923
577	6724	4909
578	6741	4901
579	6754	4891
580	6765	4879
581	6777	4867
582	6787	4855
583	6798	4842
584	6808	4829
585	6821	4819
586	6834	4808
587	6847	4797
588	6856	4784
589	6867	4772
590	6878	4760
591	6890	4748
592	6903	4737
593	6916	4727
594	6928	4715
595	6940	4704
596	6953	4693
597	6963	4681
598	6973	4668
599	6981	4654
600	6995	4644
601	7006	4632
602	7017	4620
603	7027	4607
604	7040	4596
605	7052	4585
606	7064	4573
607	7075	4562
608	7086	4549
609	7097	4537
610	7108	4525
611	7120	4514
612	7130	4501
613	7143	4490
614	7153	4478
615	7163	4465
616	7173	4452
617	7184	4441
618	7198	4430
619	7210	4419
620	7221	4407
621	7234	4396
622	7243	4383
623	7259	4374
624	7269	4361
625	7281	4350
626	7294	4339
627	7304	4326
628	7316	4315
629	7326	4302
630	7336	4290
631	7350	4279
632	7361	4268
633	7371	4255
634	7382	4243
635	7395	4232
636	7409	4222
637	7418	4209
638	7431	4198
639	7444	4187
640	7456	4176
641	7467	4163
642	7478	4152
643	7491	4141
644	7500	4128
645	7510	4115
646	7525	4106
647	7537	4094
648	7548	4082
649	7560	4070
650	7574	4060
651	7586	4049
652	7598	4037
653	7607	4024
654	7618	4012
655	7632	4002
656	7649	3993
657	7659	3981
658	7670	3968
659	7681	3957
660	7691	3944
661	7703	3933
662	7714	3921
663	7724	3908
664	7738	3898
665	7750	3886
666	7763	3875
667	7773	3863
668	7782	3850
669	7797	3840
670	7806	3827
671	7815	3814
672	7827	3803
673	7840	3792
674	7853	3781
675	7866	3770
676	7876	3758
677	7888	3746
678	7899	3734
679	7910	3722
680	7920	3710
681	7930	3697
682	7943	3686
683	7955	3675
684	7964	3662
685	7975	3650
686	7983	3637
687	7992	3624
688	8002	3612
689	8014	3600
690	8026	3589
691	8035	3576
692	8045	3564
693	8059	3553
694	8071	3542
695	8082	3530
696	8092	3517
697	8101	3505
698	8111	3492
699	8122	3481
700	8132	3468
701	8146	3458
702	8156	3446
703	8167	3434
704	8174	3420
705	8186	3408
706	8200	3398
707	8208	3385
708	8220	3374
709	8232	3362
710	8243	3350
711	8255	3339
712	8271	3329
713	8281	3317
714	8291	3304
715	8303	3293
716	8315	3281
717	8325	3269
718	8334	3257
719	8344	3244
720	8354	3232
721	8367	3221
722	8379	3210
723	8389	3198
724	8398	3185
725	8410	3174
726	8419	3161
727	8432	3150
728	8445	3139
729	8457	3128
730	8469	3116
731	8481	3105
732	8494	3094
733	8503	3081
734	8513	3069
735	8528	3059
736	8539	3047
737	8549	3035
738	8558	3022
739	8569	3011
740	8579	2998
741	8591	2987
742	8602	2975
743	8610	2962
744	8621	2950
745	8630	2938
746	8641	2926
747	8651	2914
748	8663	2903
749	8675	2891
750	8687	2880
751	8694	2867
752	8703	2855
753	8715	2843
754	8725	2831
755	8737	2820
756	8748	2808
757	8759	2796
758	8773	2785
759	8786	2774
760	8798	2763
761	8807	2750
762	8816	2738
763	8831	2727
764	8842	2716
765	8850	2703
766	8861	2692
767	8875	2681
768	8887	2669
769	8899	2658
770	8914	2647
771	8927	2636
772	8943	2626
773	8951	2613
774	8962	2601
775	8972	2589
776	8986	2579
777	8998	2567
778	9005	2554
779	9014	2542
780	9025	2530
781	9036	2519
782	9047	2507
783	9059	2496
784	9072	2484
785	9083	2473
786	9096	2461
787	9107	2450
788	9119	2438
789	9131	2427
790	9148	2417
791	9158	2405
792	9166	2392
793	9173	2380
794	9183	2367
795	9192	2355
796	9199	2343
797	9210	2331
798	9218	2319
799	9229	2307
800	9242	2296
801	9250	2283
802	9260	2271
803	9269	2259
804	9280	2248
805	9292	2236
806	9302	2224
807	9312	2212
808	9319	2200
809	9331	2188
810	9342	2177
811	9353	2165
812	9362	2153
813	9372	2141
814	9384	2130
815	9396	2118
816	9405	2106
817	9414	2094
818	9422	2082
819	9433	2070
820	9447	2059
821	9457	2047
822	9465	2035
823	9476	2024
824	9487	2012
825	9499	2001
826	9507	1988
827	9517	1977
828	9527	1965
829	9539	1953
830	9550	1942
831	9560	1930
832	9570	1918
833	9585	1907
834	9594	1895
835	9604	1884
836	9614	1872
837	9624	1860
838	9632	1848
839	9641	1836
840	9650	1824
841	9657	1812
842	9666	1800
843	9674	1788
844	9681	1775
845	9689	1763
846	9697	1751
847	9709	1740
848	9718	1728
849	9725	1716
850	9733	1704
851	9742	1692
852	9751	1680
853	9759	1668
854	9767	1656
855	9775	1644
856	9785	1632
857	9793	1620
858	9800	1608
859	9809	1596
860	9819	1585
861	9825	1573
862	9833	1561
863	9843	1549
864	9852	1537
865	9862	1526
866	9871	1514
867	9878	1502
868	9889	1490
869	9899	1479
870	9909	1467
871	9918	1455
872	9928	1444
873	9935	1432
874	9944	1420
875	9952	1408
876	9963	1397
877	9974	1385
878	9984	1374
879	9993	1362
880	10000	1350
881	10005	1338
882	10010	1326
883	10015	1314
884	10019	1302
885	10024	1289
886	10028	1277
887	10033	1265
888	10038	1253
889	10043	1241
890	10047	1229
891	10051	1217
892	10055	1204
893	10060	1192
894	10064	1180
895	10068	1168
896	10072	1156
897	10076	1144
898	10080	1132
899	10084	1120
900	10088	1108
901	10092	1096
902	10096	1084
903	10100	1072
904	10104	1060
905	10108	1048
906	10112	1036
907	10116	1024
908	10120	1013
909	10123	1001
910	10127	989
911	10131	977
912	10135	965
913	10139	954
914	10143	942
915	10146	930
916	10150	918
917	10154	907
918	10157	895
919	10161	883
920	10165	871
921	10169	860
922	10172	848
923	10176	837
924	10179	825
925	10183	813
926	10187	802
927	10191	790
928	10195	779
929	10199	767
930	10202	756
931	10206	744
932	10210	733
933	10213	721
934	10217	710
935	10220	698
936	10224	687
937	10228	676
938	10231	664
939	10235	653
940	10239	641
941	10243	630
942	10246	619
943	10250	608
944	10254	596
945	10258	585
946	10261	574
947	10265	563
948	10268	551
949	10272	540
950	10276	529
951	10280	518
952	10283	507
953	10287	496
954	10291	484
955	10294	473
956	10298	462
957	10301	451
958	10305	440
959	10308	429
960	10312	418
961	10316	407
962	10320	396
963	10323	385
964	10327	374
965	10330	363
966	10334	352
967	10337	341
968	10341	330
969	10345	319
970	10348	309
971	10352	298
972	10355	287
973	10359	276
974	10362	265
975	10366	254
976	10370	244
977	10373	233
978	10377	222
979	10381	211
980	10385	201
981	10389	190
982	10392	179
983	10396	169
984	10399	158
985	10403	147
986	10406	137
987	10410	126
988	10414	115
989	10417	105
990	10421	94
991	10424	84
992	10428	73
993	10431	62
994	10435	52
995	10438	41
996	10441	31
997	10445	20
998	10448	10
999	10451	0
